incident_id,created_date,resolved_date,department,severity,status,category,response_hours
INC-1001,2026-01-05,2026-01-07,Information Technology,High,Resolved,Malware,18.0
INC-1002,2026-01-08,,Operations,Medium,Open,Access Issue,12.0
INC-1003,2026-01-11,2026-01-12,Sales,Low,Resolved,Phishing,6.0
INC-1004,2026-01-15,2026-01-20,Finance,Critical,Resolved,Data Loss,55.0
INC-1005,2026-01-18,2026-01-17,HR,High,Resolved,Policy Violation,9.0
INC-1006,2026-02-01,,Information Technology,Critical,Open,Ransomware,40.0
INC-1007,2026-02-03,2026-02-05,Information Technology,Medium,Resolved,System Outage,14.0
INC-1008,2026-02-10,2026-02-11,Operations,High,Resolved,Patch Failure,10.0
INC-1009,2026-02-15,,Legal,Low,Open,Unauthorized Access,4.0
INC-1010,2026-03-02,2026-03-09,Customer Support,Medium,Resolved,Account Lockout,28.0
INC-1011,2026-03-10,2026-03-18,Sales,High,Resolved,Phishing,36.0
INC-1012,2026-03-12,,Marketing,Medium,In Progress,Suspicious Email,16.0
INC-1013,2026-04-01,2026-04-01,Operations,Low,Resolved,Misconfiguration,2.0
INC-1014,2026-04-07,,Information Technology,Critical,Open,Data Exposure,48.0
INC-1015,2026-04-09,2026-04-14,Finance,Medium,Resolved,Access Issue,20.0
INC-1016,2026-04-12,2026-04-16,HR,Low,Resolved,Lost Device,11.0
INC-1017,2026-05-03,,Operations,High,Open,Service Disruption,30.0
INC-1018,2026-05-08,2026-05-20,Sales,Critical,Resolved,Business Email Compromise,72.0
INC-1019,2026-05-11,2026-05-13,Information Technology,Medium,Resolved,VPN Issue,
INC-1020,2026-06-02,,Customer Support,Medium,Open,Password Reset,5.0
INC-1021,2026-06-04,2026-06-06,Operations,Medium,Resolved,Phishing,15.0
INC-1022,2026-06-05,,Sales,High,Open,Credential Theft,22.0
INC-1023,2026-06-07,2026-06-07,Information Technology,Low,resolved,Spam,1.0
INC-1024,2026-06-08,2026-06-12,Finance,Medium,Resolved,Access Review,19.0
INC-1025,2026-06-10,,Information Technology,Critical,In Progress,Privilege Escalation,44.0
INC-1026,2026-06-12,2026-06-19,Operations,High,Resolved,Patch Failure,31.0
INC-1027,2026-06-14,,Marketing,Medium,Open,Suspicious Email,8.0
INC-1028,2026-06-15,2026-06-16,Customer Support,Low,Resolved,Password Reset,3.0
INC-1029,2026-06-16,2026-06-18,Legal,Medium,Resolved,Policy Violation,7.0
INC-1030,2026-06-18,,Information Technology,Critical,Open,Data Exposure,52.0
INC-1031,2026-03-21,2026-03-24,Operations,Medium,Resolved,System Outage,17.0
INC-1032,2026-03-25,,HR,Low,Open,Lost Device,5.0
