finding_id,department,severity,open_date,close_date,status,owner_team
FND-2001,Information Technology,Critical,2026-01-06,,Open,SOC
FND-2002,Operations,High,2026-01-10,2026-02-01,Closed,Infrastructure
FND-2003,Sales,Medium,2026-01-14,2026-01-28,Closed,GRC
FND-2004,Finance,High,2026-01-18,,Open,Risk
FND-2005,HR,Low,2026-01-20,2026-01-19,Closed,Compliance
FND-2006,Information Technology,Critical,2026-02-02,,Open,SOC
FND-2007,Operations,High,2026-02-09,,Open,Infrastructure
FND-2008,Legal,Medium,2026-02-15,2026-03-01,Closed,GRC
FND-2009,Marketing,Low,2026-03-05,,Open,Awareness
FND-2010,Customer Support,High,2026-03-08,2026-03-25,Closed,SOC
FND-2011,Information Technology,Critical,2026-04-03,,Open,SOC
FND-2012,Operations,Medium,2026-04-11,2026-04-30,Closed,Infrastructure
FND-2013,Sales,High,2026-05-02,,Open,GRC
FND-2014,Finance,Medium,2026-05-12,2026-05-18,Closed,Risk
FND-2015,Operations,High,2026-05-22,,Open,
FND-2016,Information Technology,High,2026-06-01,,Open,SOC
FND-2017,Operations,Medium,2026-06-04,2026-06-14,Closed,Infrastructure
FND-2018,Sales,Critical,2026-06-05,,Open,GRC
FND-2019,Finance,Low,2026-06-06,2026-06-08,Closed,Risk
FND-2020,HR,Medium,2026-06-09,,Open,Compliance
FND-2021,Information Technology,High,2026-06-12,,Open,SOC
FND-2022,Customer Support,Medium,2026-06-15,2026-06-22,Closed,Awareness
FND-2023,Operations,Critical,2026-06-18,,Open,Infrastructure
FND-2024,Marketing,Medium,2026-06-20,,Open,Awareness
FND-2025,Legal,High,2026-06-21,2026-06-27,Closed,GRC
